"loss","learning_rate","epoch","perplexity","steps","samples"
1.0985,5e-05,0.31,2.999663152908081,18100,144800
1.1124,5e-05,0.31,3.0416496005298557,18150,145200
1.0711,5e-05,0.31,2.918588181878475,18200,145600
1.0983,5e-05,0.32,2.9990632802667627,18250,146000
1.0744,5e-05,0.32,2.9282354320866397,18300,146400
1.1318,5e-05,0.32,3.1012336997987986,18350,146800
1.1176,5e-05,0.32,3.057507372928015,18400,147200
1.0902,5e-05,0.32,2.9748689868670253,18450,147600
1.1124,5e-05,0.32,3.0416496005298557,18500,148000
1.1001,5e-05,0.32,3.004466455570159,18550,148400
1.08,5e-05,0.32,2.944679551065524,18600,148800
1.0618,5e-05,0.32,2.891571135776459,18650,149200
1.093,5e-05,0.32,2.9832102924083586,18700,149600
1.102,5e-05,0.32,3.0101803683339323,18750,150000
1.104,5e-05,0.32,3.0162067534469186,18800,150400
1.0805,5e-05,0.33,2.9461522589873557,18850,150800
1.0657,5e-05,0.33,2.9028702822198875,18900,151200
1.035,5e-05,0.33,2.8151062356240635,18950,151600
1.0542,5e-05,0.33,2.869678492565248,19000,152000
1.1089,5e-05,0.33,3.031022435315688,19050,152400
1.0757,5e-05,0.33,2.9320446135798632,19100,152800
